sample_idx,marginal_diff
1,-0.03410649299621582
2,-0.011484384536743164
3,-0.01959395408630371
4,-0.0518336296081543
5,-0.023129940032958984
6,-0.1285696029663086
7,-0.14576196670532227
8,-0.04572248458862305
9,-0.030230045318603516
10,-0.09682989120483398
11,-0.04772329330444336
12,-0.03870034217834473
13,-0.08872604370117188
14,-0.1469097137451172
15,-0.06096506118774414
16,0.02179551124572754
17,-0.10196781158447266
18,-0.030481338500976562
19,-0.11209893226623535
20,-0.04453158378601074
21,-0.16406655311584473
22,-0.0975484848022461
23,-0.16278719902038574
24,-0.07906866073608398
25,-0.17840361595153809
26,-0.11276650428771973
27,-0.0793449878692627
28,-0.0488438606262207
29,-0.26763296127319336
30,-0.01528787612915039
31,-0.09119606018066406
32,-0.17243599891662598
33,-0.022055864334106445
34,-0.04313540458679199
35,-0.09071040153503418
36,-0.15063762664794922
37,-0.041687726974487305
38,0.006968498229980469
39,-0.061521053314208984
40,-0.09679031372070312
41,-0.07635951042175293
42,-0.13654470443725586
43,-0.10857725143432617
44,-0.14227557182312012
45,-0.06117558479309082
46,-0.04536890983581543
47,-0.05776786804199219
48,-0.03626394271850586
49,-0.10400533676147461
50,-0.14076852798461914
51,-0.04424405097961426
52,-0.03361845016479492
53,-0.06110119819641113
54,-0.1540696620941162
55,-0.1672830581665039
56,-0.033713340759277344
57,-0.03054213523864746
58,-0.0167083740234375
59,-0.09675884246826172
60,0.0023653507232666016
61,-0.1859745979309082
62,-0.008034706115722656
63,-0.025593996047973633
64,-0.06941580772399902
65,-0.06420707702636719
66,-0.06381678581237793
67,-0.1775527000427246
68,-0.0525965690612793
69,-0.0886843204498291
70,-0.053360700607299805
71,-0.09307503700256348
72,-0.05891156196594238
73,-0.0908818244934082
74,-0.008619070053100586
75,-0.08119034767150879
76,-0.06174039840698242
77,-0.07937312126159668
78,-0.13706231117248535
79,-0.05714917182922363
80,-0.08300542831420898
81,-0.14616608619689941
82,-0.04123258590698242
83,-0.042452335357666016
84,-0.03670382499694824
85,-0.1272447109222412
86,-0.056589603424072266
87,-0.10964584350585938
88,-0.0886688232421875
89,-0.12325477600097656
90,-0.05508160591125488
91,-0.03133440017700195
92,-0.008424043655395508
93,-0.02957940101623535
94,-0.0236666202545166
95,-0.023634910583496094
96,-0.05670285224914551
97,-0.01197671890258789
98,-0.03263735771179199
99,-0.12948274612426758
100,-0.14607477188110352
