sample_idx,marginal_diff
1,-0.008790254592895508
2,-0.0017631053924560547
3,0.004706621170043945
4,-0.009491682052612305
5,0.005354642868041992
6,-0.05226850509643555
7,-0.016798973083496094
8,-0.02023911476135254
9,-0.03440594673156738
10,-0.020679712295532227
11,-0.009902238845825195
12,-0.0009000301361083984
13,-0.055161237716674805
14,-0.14739322662353516
15,-0.14790010452270508
16,-0.004130125045776367
17,-0.02274036407470703
18,-0.06168675422668457
19,-0.017836809158325195
20,-0.12149262428283691
21,-0.0672607421875
22,-0.07372403144836426
23,-0.07290482521057129
24,0.0002644062042236328
25,-0.13064217567443848
26,-0.006585121154785156
27,-0.026905298233032227
28,-0.03313183784484863
29,-0.007796287536621094
30,0.011834859848022461
31,-0.06226301193237305
32,-0.010591745376586914
33,-0.12501192092895508
34,-0.0472111701965332
35,-0.00643467903137207
36,-0.1444253921508789
37,-0.2243969440460205
38,-0.20802927017211914
39,-0.013753414154052734
40,-0.014968633651733398
41,0.005086421966552734
42,0.021314382553100586
43,-0.0963437557220459
44,-0.03449511528015137
45,-0.06960415840148926
46,-0.07911896705627441
47,0.0018172264099121094
48,-0.026505470275878906
49,-0.025540590286254883
50,-0.03656125068664551
51,-0.12102365493774414
52,-0.016579866409301758
53,-0.11527204513549805
54,-0.042160987854003906
55,-0.10868668556213379
56,-0.023989200592041016
57,-0.033265113830566406
58,-0.024609088897705078
59,-0.018340110778808594
60,-0.056113481521606445
61,-0.00950312614440918
62,-0.0013427734375
63,-0.005991935729980469
64,-0.023360729217529297
65,-0.009946346282958984
66,-0.009647130966186523
67,-0.12292075157165527
68,-0.051605939865112305
69,-0.021034955978393555
70,-0.0041582584381103516
71,-0.022193431854248047
72,-0.03923606872558594
73,0.007816314697265625
74,-0.02432990074157715
75,-0.03164052963256836
76,-0.1746220588684082
77,-0.09102535247802734
78,-0.0516209602355957
79,-0.004862070083618164
80,-0.23105597496032715
81,-0.12444567680358887
82,-0.07883238792419434
83,-0.009157180786132812
84,-0.07548737525939941
85,0.008033990859985352
86,-0.04335927963256836
87,-0.02387213706970215
88,-0.049445390701293945
89,-0.19114470481872559
90,0.004475593566894531
91,-0.027600526809692383
92,-0.014868497848510742
93,-0.1522977352142334
94,-0.013201713562011719
95,-0.010506868362426758
96,-0.005118131637573242
97,-0.016990184783935547
98,0.006127834320068359
99,-0.03522229194641113
100,0.0062029361724853516
