sample_idx,marginal_diff
1,-0.27161645889282227
2,-0.06316161155700684
3,-0.24535441398620605
4,-0.21169066429138184
5,-0.19570350646972656
6,-0.07605743408203125
7,-0.052411794662475586
8,-0.0352625846862793
9,-0.006333589553833008
10,-0.06375694274902344
11,-0.026874780654907227
12,-0.27211427688598633
13,-0.041141510009765625
14,-0.04172992706298828
15,-0.1437091827392578
16,0.013935089111328125
17,-0.043372392654418945
18,-0.09796547889709473
19,-0.08692169189453125
20,-0.09264802932739258
21,-0.22363877296447754
22,-0.11081194877624512
23,-0.21938157081604004
24,-0.08230876922607422
25,0.049324989318847656
26,-0.12206482887268066
27,-0.07329702377319336
28,-0.04734635353088379
29,-0.07139754295349121
30,-0.11835455894470215
31,-0.23025989532470703
32,-0.18371367454528809
33,-0.02505970001220703
34,-0.21737980842590332
35,-0.13807916641235352
36,-0.07664871215820312
37,-0.18825221061706543
38,-0.06759524345397949
39,0.0020318031311035156
40,-0.09893012046813965
41,-0.1930084228515625
42,-0.05313682556152344
43,-0.10951590538024902
44,-0.2107844352722168
45,-0.2578256130218506
46,-0.15157198905944824
47,-0.011790037155151367
48,-0.08703231811523438
49,-0.06769108772277832
50,-0.10468053817749023
51,-0.012709379196166992
52,-0.08093094825744629
53,-0.020499467849731445
54,-0.008997201919555664
55,-0.3885798454284668
56,-0.15346908569335938
57,-0.04809284210205078
58,0.0045413970947265625
59,-0.10971689224243164
60,-0.09948062896728516
61,-0.12587928771972656
62,-0.009925603866577148
63,-0.10856389999389648
64,-0.039322614669799805
65,-0.013593196868896484
66,-0.19605374336242676
67,-0.1946265697479248
68,-0.12351202964782715
69,-0.12824535369873047
70,-0.18390560150146484
71,-0.11179947853088379
72,-0.11195254325866699
73,-0.29299187660217285
74,-0.06514668464660645
75,-0.23869609832763672
76,-0.0981607437133789
77,-0.1506209373474121
78,-0.1272282600402832
79,-0.025110960006713867
80,-0.0543973445892334
81,-0.06642866134643555
82,0.005033969879150391
83,-0.12347412109375
84,-0.11818146705627441
85,-0.21559906005859375
86,-0.1187901496887207
87,-0.11583709716796875
88,-0.32296204566955566
89,-0.16933178901672363
90,-0.08100557327270508
91,-0.028913021087646484
92,-0.10412478446960449
93,-0.11088371276855469
94,-0.22423720359802246
95,-0.035845279693603516
96,-0.20252227783203125
97,-0.09933876991271973
98,-0.12186384201049805
99,-0.10993075370788574
100,-0.028126239776611328
