sample_idx,marginal_diff
1,-56.19853427001226
2,-9.688181119378214
3,-41.48908568722686
4,-78.70780672321325
5,-34.221107549299404
6,-190.40886225495365
7,-214.92393212463935
8,-57.10303638442247
9,-39.15782081120392
10,-142.8241530436103
11,-64.63629291351435
12,-57.32982391003998
13,-143.96459615649678
14,-233.0481359037858
15,-114.51125829952525
16,-1.0926794049435102
17,-129.20744010677458
18,-39.61842152524832
19,-179.66895941228245
20,-56.600410970007715
21,-232.12515558904033
22,-181.24812234329102
23,-260.2888112483372
24,-136.28963017166393
25,-252.20725569188016
26,-160.9770344297758
27,-126.23146444176518
28,-72.7904193310444
29,-387.94163974909975
30,-19.58920279999097
31,-183.8983197205639
32,-232.27939371609477
33,-34.28469909368255
34,-85.24724323733835
35,-133.54015944684102
36,-234.59094326626882
37,-76.19434578462756
38,-3.5478560950473366
39,-88.9465132882192
40,-126.24945402311687
41,-112.58846969905471
42,-180.76360692896515
43,-142.24967743231673
44,-191.3366295675262
45,-100.00314784222383
46,-86.87524323526463
47,-97.08534158514408
48,-45.176512842033844
49,-169.7337981583562
50,-223.64654480518607
51,-52.760387997908765
52,-45.300878533471405
53,-98.60768164903357
54,-201.679886027272
55,-238.47539767264425
56,-46.709425454208485
57,-26.289203782113646
58,-13.759779518717778
59,-223.2903810600751
60,-5.9119659446723745
61,-299.13263555397975
62,-23.960862637923128
63,-40.74317561550629
64,-152.0291159348028
65,-87.05156407616846
66,-89.84784204315338
67,-247.1047428713582
68,-71.00129276939128
69,-126.18248774474068
70,-71.64957772360776
71,-149.16979854012288
72,-76.46610866631863
73,-142.7672626260935
74,-33.07182522610742
75,-117.1010881689233
76,-84.83781521755714
77,-115.69716860806057
78,-177.31042869076873
79,-89.37003958553487
80,-109.66765122359243
81,-202.06003156117185
82,-45.24362670364462
83,-45.151725706776915
84,-72.70037430757588
85,-142.6090468228167
86,-89.83821865415803
87,-155.2631643687248
88,-113.6864160345765
89,-136.4831524783549
90,-101.1224583598098
91,-52.03402132981387
92,-22.16611152386463
93,-70.18353412961505
94,-41.74959138216673
95,-48.25640267847393
96,-94.48844886266647
97,-50.81698485111747
98,-74.9568454516409
99,-168.08684436913722
100,-219.29378667330457
