sample_idx,marginal_diff
1,-0.03209257125854492
2,-0.018233060836791992
3,-0.17684507369995117
4,-0.02111077308654785
5,-0.10488581657409668
6,-0.12336277961730957
7,-0.013018369674682617
8,-0.30679917335510254
9,-0.17929887771606445
10,-0.11371827125549316
11,-0.003139019012451172
12,-0.035077571868896484
13,0.0019116401672363281
14,-0.34987616539001465
15,-0.024412155151367188
16,0.026510953903198242
17,-0.05014848709106445
18,-0.14045119285583496
19,-0.04204845428466797
20,-0.19521021842956543
21,-0.09036898612976074
22,-0.0957634449005127
23,-0.4156491756439209
24,-0.11942005157470703
25,-0.08387279510498047
26,-0.15720224380493164
27,-0.005330801010131836
28,-0.04818582534790039
29,-0.01948714256286621
30,-0.002840280532836914
31,-0.045972585678100586
32,-0.09927082061767578
33,-0.07002902030944824
34,-0.043996572494506836
35,-0.07467389106750488
36,-0.039381980895996094
37,-0.011630535125732422
38,-0.09972858428955078
39,-0.08840417861938477
40,-0.006180524826049805
41,-0.0002715587615966797
42,-0.16105151176452637
43,-0.15067195892333984
44,-0.1607983112335205
45,-0.017993688583374023
46,-0.13822650909423828
47,-0.0933077335357666
48,-0.05043625831604004
49,-0.10216498374938965
50,-0.1101372241973877
51,-0.10473346710205078
52,-0.05629754066467285
53,0.044280052185058594
54,-0.008832216262817383
55,-1.6689300537109375e-05
56,-0.04311513900756836
57,-0.02780294418334961
58,-0.13727259635925293
59,-0.010184764862060547
60,-0.023590087890625
61,0.006649017333984375
62,-0.11964154243469238
63,-0.19671630859375
64,-0.3415567874908447
65,-0.1210787296295166
66,-0.02973198890686035
67,-0.06335902214050293
68,-0.08870959281921387
69,-0.11918282508850098
70,-0.1435713768005371
71,-0.09196352958679199
72,-0.13981842994689941
73,-0.041986703872680664
74,-0.20385527610778809
75,-0.22722959518432617
76,-0.019306421279907227
77,-0.02774810791015625
78,-0.06456542015075684
79,0.016202449798583984
80,-0.12556862831115723
81,-0.0958404541015625
82,-0.1569807529449463
83,0.015424489974975586
84,-0.11091732978820801
85,-0.20051121711730957
86,-0.007521390914916992
87,-0.34927940368652344
88,-0.1549537181854248
89,-0.04604339599609375
90,-0.0996406078338623
91,-0.1682596206665039
92,-0.17149734497070312
93,-0.020450115203857422
94,-0.1673285961151123
95,0.01649308204650879
96,-0.13768529891967773
97,-0.06599068641662598
98,0.011483192443847656
99,-0.020057201385498047
100,-0.10932517051696777
