sample_idx,marginal_diff
1,-0.17960143089294434
2,-0.12665820121765137
3,0.008610248565673828
4,-0.33365345001220703
5,-0.028223752975463867
6,0.039193153381347656
7,-0.07450032234191895
8,-0.13873982429504395
9,-0.35871148109436035
10,-0.04956388473510742
11,-0.14363694190979004
12,-0.015161752700805664
13,0.0283200740814209
14,-0.2777559757232666
15,-0.1661064624786377
16,-0.037023305892944336
17,-0.00461888313293457
18,-0.10947728157043457
19,-0.011511087417602539
20,-0.16201090812683105
21,-0.028985977172851562
22,-0.02748894691467285
23,-0.004305839538574219
24,0.004833221435546875
25,-0.12030291557312012
26,-0.03323197364807129
27,-0.07646465301513672
28,-0.010421991348266602
29,-0.07735967636108398
30,-0.16927790641784668
31,-0.030884265899658203
32,-0.16101288795471191
33,-0.08225369453430176
34,-0.03488802909851074
35,-0.04989457130432129
36,-0.3910644054412842
37,-0.05395674705505371
38,-0.09345889091491699
39,-0.020914077758789062
40,-0.12493705749511719
41,-0.13290166854858398
42,-0.0020439624786376953
43,-0.18374395370483398
44,-0.2452239990234375
45,-0.08252716064453125
46,-0.041010141372680664
47,-0.027347803115844727
48,-0.20338153839111328
49,-0.25026941299438477
50,-0.23319578170776367
51,-0.20184063911437988
52,-0.1549513339996338
53,-0.12200093269348145
54,-0.323075532913208
55,-0.05026817321777344
56,-0.028496265411376953
57,0.001245737075805664
58,-0.08669781684875488
59,0.013608694076538086
60,-0.09879899024963379
61,-0.013568639755249023
62,-0.24565768241882324
63,-0.3916029930114746
64,0.01709771156311035
65,0.004129171371459961
66,0.013877391815185547
67,-0.22122812271118164
68,-0.01919269561767578
69,-0.08378076553344727
70,-0.0835411548614502
71,-0.08305168151855469
72,-0.23375296592712402
73,-0.24845218658447266
74,-0.057848215103149414
75,-0.09827017784118652
76,-0.1021277904510498
77,-0.020478248596191406
78,-0.07040834426879883
79,-0.23722577095031738
80,-0.008450746536254883
81,-0.21821188926696777
82,-0.17866945266723633
83,-0.051604270935058594
84,-0.2630314826965332
85,-0.025957107543945312
86,0.024860143661499023
87,-0.07439923286437988
88,-0.31482934951782227
89,-0.013165473937988281
90,-0.12352871894836426
91,-0.27834463119506836
92,-0.0005381107330322266
93,-0.3566892147064209
94,-0.16460561752319336
95,0.047869205474853516
96,-0.13769316673278809
97,-0.021783113479614258
98,-0.15776586532592773
99,-0.24226045608520508
100,-0.1554398536682129
